signal,n_cells,n_pos_A,n_pos_P,kappa_AP,po_AP,kappa_mean,kappa_min,fleiss_kappa,conv_kappa_mean,masked_kappa_mean,masked_n_cells
adaptation,379,6,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,219
ai_acknowledges_correction,379,15,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
ai_asked_clarifying_question,379,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
ai_asked_probing_question,379,27,34,0.84,0.976,0.84,0.84,0.84,0.4,0.818,160
ai_asks_followup,379,10,2,0.327,0.979,0.327,0.327,0.323,0.4,0.319,160
ai_asserts_knowledge_limit,379,6,7,0.922,0.997,0.922,0.922,0.922,0.737,0.921,219
ai_cites_source,379,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,165
ai_flags_complexity,379,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
ai_hedges_uncertainty,379,13,14,0.962,0.997,0.962,0.962,0.962,0.783,0.961,219
ai_malfunction,379,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,219
ai_missing_retrieval,379,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,175
ai_normalizes_difficulty,379,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
ai_offered_options,379,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
ai_offers_to_elaborate,379,0,0,,1.0,,,,,,160
ai_provides_alternatives,379,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
ai_provides_caveats,379,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,219
ai_provides_example,379,6,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
ai_provides_step_by_step,379,3,3,-0.008,0.984,-0.008,-0.008,-0.008,0.615,-0.019,160
ai_references_prior_turn,379,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
ai_refuses_or_declines,379,0,0,,1.0,,,,,,160
ai_structured_response,379,16,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
ai_validates_user,379,38,38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
ai_warns_user,379,7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
appropriate_confidence,379,0,0,,1.0,,,,,,219
conversation_stalled,379,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,175
error_recovery,379,0,0,,1.0,,,,,,199
ethical_tension,379,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,199
factual_error,379,13,12,0.959,0.997,0.959,0.959,0.959,0.783,0.958,219
false_confidence,379,13,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,219
intent_missed,379,0,5,,0.987,,,-0.007,,,219
off_topic_drift,379,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
performative_hedge,379,0,0,,1.0,,,,,,160
problem_ignored,379,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,219
repetition,379,0,0,,1.0,,,,,,214
under_delivered,379,4,0,,0.989,,,-0.005,,,175
user_abandons_thread,379,0,0,,1.0,,,,,,160
user_ambiguous_request,379,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
user_asks_clarification,379,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
user_corrects_ai,379,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
user_empowered,379,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
user_expresses_dissatisfaction,379,1,3,-0.004,0.989,-0.004,-0.004,-0.005,-0.154,-0.009,160
user_expresses_frustration,379,2,1,0.665,0.997,0.665,0.665,0.665,0.615,0.664,160
user_implicit_correction,379,6,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
user_misled,379,0,0,,1.0,,,,,,160
user_multi_request,379,6,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
user_positive_feedback,379,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
user_provides_invalid_input,379,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
user_repeats_request,379,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
user_validation_seeking,379,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
